Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
1	SP	P02768	Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2	Homo sapiens	609	3225	100.0	100.0	0.0
2	TR	B2RBS8	Albumin OS=Homo sapiens OX=9606 PE=2 SV=1	Homo sapiens	609	3213	99.7	99.7	0.0
3	TR	A0ACI8PUZ9	Albumin OS=Homo sapiens OX=9606 GN=ALB PE=4 SV=1	Homo sapiens	617	3206	98.7	98.7	0.0
4	TR	G3S791	Albumin OS=Gorilla gorilla gorilla OX=9595 GN=ALB PE=4 SV=2	Gorilla gorilla gorilla	609	3202	99.0	99.3	0.0
5	TR	A0A2R9CFC1	Albumin OS=Pan paniscus OX=9597 PE=4 SV=1	Pan paniscus	609	3200	98.9	99.7	0.0
6	TR	H2RBT1	Albumin OS=Pan troglodytes OX=9598 GN=ALB PE=4 SV=1	Pan troglodytes	609	3200	98.9	99.7	0.0
7	TR	A8K9P0	Albumin OS=Homo sapiens OX=9606 PE=2 SV=1	Homo sapiens	608	3200	99.7	99.7	0.0
8	TR	Q56G89	Albumin OS=Homo sapiens OX=9606 PE=2 SV=1	Homo sapiens	609	3190	99.2	99.2	0.0
9	TR	A0ACI8PTL4	Albumin OS=Homo sapiens OX=9606 GN=ALB PE=4 SV=1	Homo sapiens	630	3189	96.5	96.5	0.0
10	SP	Q5NVH5	Albumin OS=Pongo abelii OX=9601 GN=ALB PE=2 SV=2	Pongo abelii	609	3185	98.5	99.2	0.0
11	TR	B4DPP6	Albumin OS=Homo sapiens OX=9606 PE=2 SV=1	Homo sapiens	618	3180	98.1	98.1	0.0
12	TR	A0ACI8R7Q0	Albumin OS=Homo sapiens OX=9606 GN=ALB PE=4 SV=1	Homo sapiens	601	3163	98.7	98.7	0.0
13	TR	A0A0C4DGB6	Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=1	Homo sapiens	604	3162	100.0	100.0	0.0
14	TR	A0A2I3H4J6	Albumin OS=Nomascus leucogenys OX=61853 GN=ALB PE=4 SV=1	Nomascus leucogenys	609	3158	97.2	98.7	0.0
15	TR	A0ACI8S6P5	Albumin OS=Homo sapiens OX=9606 GN=ALB PE=4 SV=1	Homo sapiens	599	3152	98.4	98.4	0.0
16	TR	G3RE98	Albumin OS=Gorilla gorilla gorilla OX=9595 GN=ALB PE=4 SV=2	Gorilla gorilla gorilla	604	3139	99.0	99.3	0.0
17	TR	A0A2R9CPV2	Albumin OS=Pan paniscus OX=9597 PE=4 SV=1	Pan paniscus	604	3137	98.8	99.7	0.0
18	TR	A0A2I3RJI3	Albumin OS=Pan troglodytes OX=9598 GN=ALB PE=4 SV=1	Pan troglodytes	604	3137	98.8	99.7	0.0
19	TR	A0ACI8Q4V7	Albumin OS=Homo sapiens OX=9606 GN=ALB PE=4 SV=1	Homo sapiens	594	3127	97.5	97.5	0.0
20	TR	A0A2J8UTX5	Albumin OS=Pongo abelii OX=9601 GN=ALB PE=4 SV=1	Pongo abelii	604	3122	98.5	99.2	0.0
21	TR	A0ACI8PTI6	Albumin OS=Homo sapiens OX=9606 GN=ALB PE=4 SV=1	Homo sapiens	600	3104	97.2	97.4	0.0
22	TR	A0ACI8RZF8	Albumin OS=Homo sapiens OX=9606 GN=ALB PE=4 SV=1	Homo sapiens	590	3100	96.9	96.9	0.0
23	TR	G1R8T8	Albumin OS=Nomascus leucogenys OX=61853 GN=ALB PE=4 SV=2	Nomascus leucogenys	604	3095	97.1	98.7	0.0
24	TR	F6KPG5	Albumin (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1	Homo sapiens	585	3094	99.8	99.8	0.0
25	TR	A0A2I2Z0F7	Albumin OS=Gorilla gorilla gorilla OX=9595 GN=ALB PE=4 SV=1	Gorilla gorilla gorilla	597	3090	96.4	96.7	0.0
26	TR	A0ACI8QI41	Albumin OS=Homo sapiens OX=9606 GN=ALB PE=4 SV=1	Homo sapiens	596	3089	97.0	97.4	0.0
27	TR	A0ACI8PTI3	Albumin OS=Homo sapiens OX=9606 GN=ALB PE=4 SV=1	Homo sapiens	589	3085	96.7	96.7	0.0
28	TR	A0ACI8S0E5	Albumin OS=Homo sapiens OX=9606 GN=ALB PE=4 SV=1	Homo sapiens	588	3084	96.6	96.6	0.0
29	TR	A0A2I3RFK4	Albumin OS=Pan troglodytes OX=9598 GN=ALB PE=4 SV=1	Pan troglodytes	597	3081	95.9	96.9	0.0
30	TR	F7HCH0	Albumin OS=Macaca mulatta OX=9544 GN=ALB PE=4 SV=2	Macaca mulatta	608	3064	93.7	97.5	0.0
31	SP	A2V9Z4	Albumin OS=Macaca fascicularis OX=9541 GN=ALB PE=2 SV=1	Macaca fascicularis	608	3064	93.7	97.5	0.0
32	TR	A0A2K5TS45	Albumin OS=Macaca fascicularis OX=9541 PE=4 SV=2	Macaca fascicularis	608	3061	93.6	97.5	0.0
33	TR	A0ACF8J286	Uncharacterized protein OS=Pygathrix nigripes OX=310352 GN=H8959_002075 PE=4 SV=1	Pygathrix nigripes	608	3058	93.4	97.5	0.0
34	TR	A0A2K6E6L1	Albumin OS=Macaca nemestrina OX=9545 PE=4 SV=1	Macaca nemestrina	608	3057	93.4	97.4	0.0
35	TR	A0A096MVE5	Albumin OS=Papio anubis OX=9555 PE=4 SV=3	Papio anubis	608	3054	93.2	97.5	0.0
