Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
1	TR	I3WAC9	Insulin OS=Homo sapiens OX=9606 GN=INS PE=1 SV=1	Homo sapiens	110	589	100.0	100.0	4.9e-77
2	SP	P01308	Insulin OS=Homo sapiens OX=9606 GN=INS PE=1 SV=1	Homo sapiens	110	589	100.0	100.0	4.9e-77
3	SP	Q6YK33	Insulin OS=Gorilla gorilla gorilla OX=9595 GN=INS PE=3 SV=1	Gorilla gorilla gorilla	110	589	100.0	100.0	4.9e-77
4	TR	A0A2R9C3W5	Insulin OS=Pan paniscus OX=9597 PE=3 SV=1	Pan paniscus	110	586	99.1	100.0	1.4e-76
5	SP	Q8HXV2	Insulin OS=Pongo pygmaeus OX=9600 GN=INS PE=3 SV=1	Pongo pygmaeus	110	584	99.1	99.1	2.8e-76
6	SP	P30410	Insulin OS=Pan troglodytes OX=9598 GN=INS PE=1 SV=1	Pan troglodytes	110	582	98.2	99.1	5.8e-76
7	TR	A0A2K6CQQ5	Insulin OS=Macaca nemestrina OX=9545 PE=3 SV=1	Macaca nemestrina	110	577	98.2	98.2	3.3e-75
8	TR	A0A2I3HNQ8	Insulin OS=Nomascus leucogenys OX=61853 GN=INS PE=3 SV=1	Nomascus leucogenys	110	577	98.2	98.2	3.3e-75
9	TR	F7AUL3	Insulin OS=Macaca mulatta OX=9544 GN=INS PE=3 SV=3	Macaca mulatta	110	577	98.2	98.2	3.3e-75
10	SP	P30406	Insulin OS=Macaca fascicularis OX=9541 GN=INS PE=3 SV=1	Macaca fascicularis	110	577	98.2	98.2	3.3e-75
11	TR	A0A8I5TQT5	Insulin OS=Pongo abelii OX=9601 GN=INS PE=3 SV=1	Pongo abelii	109	573	99.1	99.1	1.3e-74
12	TR	A0A2K5JZH7	Insulin OS=Colobus angolensis palliatus OX=336983 PE=3 SV=1	Colobus angolensis palliatus	110	573	97.3	97.3	1.4e-74
13	TR	A0ACF8NUL6	Uncharacterized protein OS=Nasalis larvatus OX=43780 GN=H8958_012456 PE=4 SV=1	Nasalis larvatus	110	573	97.3	97.3	1.4e-74
14	TR	A0ACF8I7F6	Uncharacterized protein OS=Semnopithecus entellus OX=88029 GN=H8957_009813 PE=4 SV=1	Semnopithecus entellus	110	573	97.3	97.3	1.4e-74
