Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
1	TR	A0ACM8R4A4	Mechanistic target of rapamycin kinase OS=Pan troglodytes OX=9598 GN=MTOR PE=4 SV=1	Pan troglodytes	2549	13171	100.0	100.0	0.0
2	TR	K7B4P2	Serine/threonine-protein kinase mTOR OS=Pan troglodytes OX=9598 GN=MTOR PE=2 SV=1	Pan troglodytes	2549	13171	100.0	100.0	0.0
3	SP	P42345	Serine/threonine-protein kinase mTOR OS=Homo sapiens OX=9606 GN=MTOR PE=1 SV=1	Homo sapiens	2549	13171	100.0	100.0	0.0
4	TR	A0A2R9BI87	Serine/threonine-protein kinase mTOR OS=Pan paniscus OX=9597 PE=3 SV=1	Pan paniscus	2549	13166	100.0	100.0	0.0
5	TR	A0A2J8USH7	Serine/threonine-protein kinase mTOR OS=Pongo abelii OX=9601 GN=MTOR PE=3 SV=1	Pongo abelii	2549	13166	100.0	100.0	0.0
6	TR	A0A2K5DVM4	Serine/threonine-protein kinase mTOR OS=Aotus nancymaae OX=37293 PE=3 SV=1	Aotus nancymaae	2549	13157	99.9	99.9	0.0
7	TR	A0ACM8QVL5	Mechanistic target of rapamycin kinase OS=Callithrix jacchus OX=9483 GN=MTOR PE=4 SV=1	Callithrix jacchus	2549	13157	99.9	99.9	0.0
8	TR	U3DA98	Serine/threonine-protein kinase mTOR OS=Callithrix jacchus OX=9483 GN=MTOR PE=2 SV=1	Callithrix jacchus	2549	13157	99.9	99.9	0.0
9	TR	A0A8D2FQ72	Serine/threonine-protein kinase mTOR OS=Theropithecus gelada OX=9565 GN=MTOR PE=3 SV=1	Theropithecus gelada	2549	13156	99.9	99.9	0.0
10	TR	A0A2K6UYA5	Serine/threonine-protein kinase mTOR OS=Saimiri boliviensis boliviensis OX=39432 PE=3 SV=1	Saimiri boliviensis boliviensis	2549	13156	99.9	99.9	0.0
11	TR	A0A2K5WYX7	Serine/threonine-protein kinase mTOR OS=Macaca fascicularis OX=9541 PE=3 SV=1	Macaca fascicularis	2549	13156	99.9	99.9	0.0
12	TR	A0A2K5XPX8	Serine/threonine-protein kinase mTOR OS=Mandrillus leucophaeus OX=9568 PE=3 SV=1	Mandrillus leucophaeus	2549	13156	99.9	99.9	0.0
13	TR	A0A8C9IRH6	Serine/threonine-protein kinase mTOR OS=Piliocolobus tephrosceles OX=591936 GN=MTOR PE=3 SV=1	Piliocolobus tephrosceles	2549	13156	99.9	99.9	0.0
14	TR	A0A096NRV8	Serine/threonine-protein kinase mTOR OS=Papio anubis OX=9555 PE=3 SV=3	Papio anubis	2549	13156	99.9	99.9	0.0
15	TR	A0A2K5NEB0	Serine/threonine-protein kinase mTOR OS=Cercocebus atys OX=9531 PE=3 SV=1	Cercocebus atys	2549	13156	99.9	99.9	0.0
16	TR	H9ENS2	Serine/threonine-protein kinase mTOR OS=Macaca mulatta OX=9544 GN=MTOR PE=2 SV=1	Macaca mulatta	2549	13156	99.9	99.9	0.0
17	TR	A0A2K5IZ31	Serine/threonine-protein kinase mTOR OS=Colobus angolensis palliatus OX=336983 PE=3 SV=1	Colobus angolensis palliatus	2549	13152	99.8	99.8	0.0
18	TR	A0A0D9S8M7	Serine/threonine-protein kinase mTOR OS=Chlorocebus sabaeus OX=60711 PE=3 SV=1	Chlorocebus sabaeus	2549	13152	99.8	99.8	0.0
19	TR	A0A2K6Q8V6	Serine/threonine-protein kinase mTOR OS=Rhinopithecus roxellana OX=61622 GN=MTOR PE=3 SV=1	Rhinopithecus roxellana	2549	13152	99.8	99.8	0.0
20	TR	A0ACI8TTE9	Mechanistic target of rapamycin kinase OS=Homo sapiens OX=9606 GN=MTOR PE=4 SV=1	Homo sapiens	2556	13150	99.7	99.7	0.0
21	TR	A0ACI8PT32	Mechanistic target of rapamycin kinase OS=Homo sapiens OX=9606 GN=MTOR PE=4 SV=1	Homo sapiens	2546	13143	99.9	99.9	0.0
22	TR	A0ACI8TTL2	Mechanistic target of rapamycin kinase OS=Homo sapiens OX=9606 GN=MTOR PE=4 SV=1	Homo sapiens	2567	13142	99.3	99.3	0.0
23	TR	A0A6J3JQ05	Serine/threonine-protein kinase mTOR OS=Sapajus apella OX=9515 GN=MTOR PE=3 SV=1	Sapajus apella	2549	13136	99.6	99.8	0.0
24	TR	A0A8C9AXJ2	Serine/threonine-protein kinase mTOR OS=Prolemur simus OX=1328070 GN=MTOR PE=3 SV=1	Prolemur simus	2549	13134	99.7	99.7	0.0
25	TR	A0ABM4IRD7	Serine/threonine-protein kinase mTOR OS=Odocoileus virginianus OX=9874 GN=MTOR PE=3 SV=1	Odocoileus virginianus	2550	13131	99.7	99.8	0.0
26	TR	A0A452FCH1	Serine/threonine-protein kinase mTOR OS=Capra hircus OX=9925 GN=MTOR PE=3 SV=1	Capra hircus	2550	13131	99.7	99.8	0.0
27	TR	A0ABN8ZZL6	Serine/threonine-protein kinase mTOR OS=Rangifer tarandus platyrhynchus OX=3082113 GN=MRATA1EN1_LOCUS28400 PE=3 SV=1	Rangifer tarandus platyrhynchus	2550	13131	99.7	99.8	0.0
28	TR	I3M6B0	Serine/threonine-protein kinase mTOR OS=Ictidomys tridecemlineatus OX=43179 GN=MTOR PE=3 SV=2	Ictidomys tridecemlineatus	2549	13127	99.6	99.7	0.0
29	TR	A0A8C5ZRQ3	Serine/threonine-protein kinase mTOR OS=Marmota marmota marmota OX=9994 GN=MTOR PE=3 SV=1	Marmota marmota marmota	2549	13126	99.5	99.7	0.0
30	TR	A0A8D2GPK6	Serine/threonine-protein kinase mTOR OS=Urocitellus parryii OX=9999 GN=MTOR PE=3 SV=1	Urocitellus parryii	2549	13123	99.5	99.6	0.0
31	TR	A0A5E4BH87	Serine/threonine-protein kinase mTOR OS=Marmota monax OX=9995 GN=MONAX_5E027741 PE=3 SV=1	Marmota monax	2549	13123	99.6	99.7	0.0
32	TR	A0A8C9P1G1	Serine/threonine-protein kinase mTOR OS=Spermophilus dauricus OX=99837 PE=3 SV=1	Spermophilus dauricus	2549	13123	99.5	99.7	0.0
33	TR	A0ABM4QLZ7	Serine/threonine-protein kinase mTOR OS=Bos indicus OX=9915 GN=MTOR PE=3 SV=1	Bos indicus	2550	13123	99.6	99.8	0.0
34	TR	A0A4W2CTG3	Serine/threonine-protein kinase mTOR OS=Bos indicus x Bos taurus OX=30522 GN=MTOR PE=3 SV=1	Bos indicus x Bos taurus	2550	13123	99.6	99.8	0.0
35	TR	E1BFB4	Serine/threonine-protein kinase mTOR OS=Bos taurus OX=9913 GN=MTOR PE=3 SV=5	Bos taurus	2550	13123	99.6	99.8	0.0
36	TR	A0ABM1CIG9	Serine/threonine-protein kinase mTOR OS=Ceratotherium simum simum OX=73337 GN=LOC101391567 PE=3 SV=1	Ceratotherium simum simum	2550	13123	99.6	99.7	0.0
37	TR	H0VJM9	Serine/threonine-protein kinase mTOR OS=Cavia porcellus OX=10141 GN=MTOR PE=3 SV=2	Cavia porcellus	2549	13120	99.5	99.7	0.0
38	TR	A0A671FBK8	Serine/threonine-protein kinase mTOR OS=Rhinolophus ferrumequinum OX=59479 GN=MTOR PE=3 SV=1	Rhinolophus ferrumequinum	2550	13118	99.6	99.8	0.0
39	TR	B9VXW5	Serine/threonine-protein kinase mTOR OS=Ovis aries OX=9940 PE=2 SV=1	Ovis aries	2550	13118	99.6	99.8	0.0
40	TR	A0A6P3I0I5	Serine/threonine-protein kinase mTOR OS=Bison bison bison OX=43346 GN=MTOR PE=3 SV=1	Bison bison bison	2550	13118	99.6	99.7	0.0
41	TR	A0A8C2YPJ0	Serine/threonine-protein kinase mTOR OS=Chinchilla lanigera OX=34839 GN=MTOR PE=3 SV=1	Chinchilla lanigera	2549	13117	99.5	99.7	0.0
42	TR	A0A8C4PST6	Serine/threonine-protein kinase mTOR OS=Equus asinus OX=9793 GN=MTOR PE=3 SV=2	Equus asinus	2550	13117	99.6	99.6	0.0
43	TR	A0ABM2ESI7	Serine/threonine-protein kinase mTOR OS=Equus przewalskii OX=9798 GN=MTOR PE=3 SV=1	Equus przewalskii	2550	13117	99.6	99.6	0.0
44	TR	A0ACF8NYG5	Uncharacterized protein OS=Nasalis larvatus OX=43780 GN=H8958_009989 PE=4 SV=1	Nasalis larvatus	2545	13116	99.8	99.8	0.0
45	TR	A0AC58RG91	Serine/threonine-protein kinase mTOR OS=Camelus bactrianus OX=9837 GN=MTOR PE=3 SV=1	Camelus bactrianus	2550	13116	99.5	99.6	0.0
